"source","destinations","mention","quote","reply","weight","DateUpdate"
"Redit_es","aimplas",413,1,2,416,2021-12-21
"Redit_es","ainiatecnologia",235,0,0,235,2021-12-21
"Redit_es","ITC_ceramica",231,0,2,233,2021-12-21
"Redit_es","AIDIMME",230,0,0,230,2021-12-21
"Redit_es","ITI_TIC",230,0,0,230,2021-12-21
"Redit_es","aitex_es",221,0,0,221,2021-12-21
"Redit_es","itenergia",210,0,0,210,2021-12-21
"Redit_es","AIJU_Tecnologi",205,0,0,205,2021-12-21
"TeximInfo","aimplas",101,0,101,202,2021-12-21
"Redit_es","InescopTech",201,0,0,201,2021-12-21
"Redit_es","ibv_org",198,0,0,198,2021-12-21
"Redit_es","itene",196,0,0,196,2021-12-21
"Redit_es","Redit_es",143,0,0,143,2021-12-21
"izarotech","aimplas",68,0,30,98,2021-12-21
"FuturEnviro","aimplas",79,0,0,79,2021-12-21
"RevistaRETEMA","aimplas",65,0,0,65,2021-12-21
"Mundoplast","aimplas",62,0,0,62,2021-12-21
"aimplas","aimplas",50,0,8,58,2021-12-21
"Redit_es","GVAavi",56,0,0,56,2021-12-21
"Redit_es","GVAivace",54,0,2,56,2021-12-21
"Packnet_","aimplas",36,8,8,52,2021-12-21
"ForoQyS","aimplas",31,0,16,47,2021-12-21
"Redit_es","GVAinnova",39,0,0,39,2021-12-21
"UPLIFT_EU","aimplas",38,0,0,38,2021-12-21
"UPLIFT_EU","UPLIFT_EU",2,0,36,38,2021-12-21
"expoquimia","aimplas",37,0,0,37,2021-12-21
"UPLIFT_EU","Bioplastech",36,0,0,36,2021-12-21
"UPLIFT_EU","DTUtweet",36,0,0,36,2021-12-21
"UPLIFT_EU","es_aau",36,0,0,36,2021-12-21
"UPLIFT_EU","fz_juelich",36,0,0,36,2021-12-21
"UPLIFT_EU","LeibnizHKI",36,0,0,36,2021-12-21
"UPLIFT_EU","Lundsuni",36,0,0,36,2021-12-21
"UPLIFT_EU","mi_sustainable",36,0,0,36,2021-12-21
"UPLIFT_EU","RWTH",36,0,0,36,2021-12-21
"UPLIFT_EU","SustainableInnE",36,0,0,36,2021-12-21
"UPLIFT_EU","TECNARO_GmbH",36,0,0,36,2021-12-21
"UPLIFT_EU","ucdgaeltacht",36,0,0,36,2021-12-21
"UPLIFT_EU","Vestforbranding",36,0,0,36,2021-12-21
"AEMAC_","aimplas",34,0,1,35,2021-12-21
"RPM_Plasticos","aimplas",35,0,0,35,2021-12-21
"ainiatecnologia","aimplas",33,0,0,33,2021-12-21
"CentrosCex","aimplas",22,0,11,33,2021-12-21
"GVAavi","aimplas",33,0,0,33,2021-12-21
"veredictas","CEPplast",32,0,1,33,2021-12-21
"UPLIFT_EU","europatweets",32,0,0,32,2021-12-21
"veredictas","aimplas",32,0,0,32,2021-12-21
"veredictas","ANARPLA",32,0,0,32,2021-12-21
"veredictas","ClubMktBcn",32,0,0,32,2021-12-21
"veredictas","Digicomexpo",32,0,0,32,2021-12-21
"veredictas","elpublicistacom",32,0,0,32,2021-12-21
"veredictas","Envaspres",32,0,0,32,2021-12-21
"veredictas","IPMARK",32,0,0,32,2021-12-21
"veredictas","itene",32,0,0,32,2021-12-21
"veredictas","RevistaInfopack",32,0,0,32,2021-12-21
"EPPM_Magazine","aimplas",30,0,0,30,2021-12-21
"UPLIFT_EU","EU_Commission",30,0,0,30,2021-12-21
"veredictas","revistaide",30,0,0,30,2021-12-21
"veredictas","Tecnifood",30,0,0,30,2021-12-21
"i_plastico","aimplas",29,0,0,29,2021-12-21
"revistaide","aimplas",21,0,7,28,2021-12-21
"Tecnifood","aimplas",25,0,1,26,2021-12-21
"PlasticFV","aimplas",21,0,4,25,2021-12-21
"pharmamarket","aimplas",24,0,0,24,2021-12-21
"Equiplast","aimplas",23,0,0,23,2021-12-21
"ait_research","aimplas",21,0,1,22,2021-12-21
"ANAIP_es","aimplas",21,0,1,22,2021-12-21
"ambientplastico","aimplas",19,0,2,21,2021-12-21
"expoquimia","accio_cat",21,0,0,21,2021-12-21
"Alvaro_Eslu","aimplas",17,0,3,20,2021-12-21
"AvepAsociacion","aimplas",19,1,0,20,2021-12-21
"expoquimia","IREC_Energia",20,0,0,20,2021-12-21
"Fedit","aimplas",14,4,2,20,2021-12-21
"BIOVAL_es","aimplas",18,0,1,19,2021-12-21
"emprenemjunts","aimplas",19,0,0,19,2021-12-21
"FuturEnviro","FuturEnviro",15,1,3,19,2021-12-21
"ResiduosPro","aimplas",18,0,0,18,2021-12-21
"UPLIFT_EU","t_uppe",18,0,0,18,2021-12-21
"davidorreta","aimplas",17,0,0,17,2021-12-21
"davidorreta","ResiduosPro",17,0,0,17,2021-12-21
"Regmurcialimpia","aimplas",15,0,2,17,2021-12-21
"SustainPlastics","aimplas",17,0,0,17,2021-12-21
"PlasticsEuropES","aimplas",15,1,0,16,2021-12-21
"ceeivalencia","aimplas",15,0,0,15,2021-12-21
"aec_es","aimplas",13,1,0,14,2021-12-21
"ait_research","BioICEP_IMGGE",13,1,0,14,2021-12-21
"eurocarne","aimplas",12,0,2,14,2021-12-21
"Eurosurfas","aimplas",14,0,0,14,2021-12-21
"int_quimica","aimplas",14,0,0,14,2021-12-21
"ITC_ceramica","aimplas",14,0,0,14,2021-12-21
"itenergia","GVAivace",14,0,0,14,2021-12-21
"Vertidos_Cero","aimplas",13,1,0,14,2021-12-21
"CdeCarnica","aimplas",12,0,1,13,2021-12-21
"itenergia","aimplas",13,0,0,13,2021-12-21
"OceanetsProject","aimplas",12,1,0,13,2021-12-21
"AEMAC_","FIDAMC_",12,0,0,12,2021-12-21
"ait_research","FournetMargaret",11,0,1,12,2021-12-21
"Cicloplast_com","aimplas",11,1,0,12,2021-12-21
"expoquimia","Leitat",12,0,0,12,2021-12-21
"GVAavi","Actecosl",12,0,0,12,2021-12-21
"GVAavi","realturfoficial",12,0,0,12,2021-12-21
"Redit_es","valenciactiva_",12,0,0,12,2021-12-21
"Vertidos_Cero","Vertidos_Cero",9,0,3,12,2021-12-21
"Hispackbcn","aimplas",11,0,0,11,2021-12-21
"ibv_org","aimplas",11,0,0,11,2021-12-21
"Regmurcialimpia","Vertidos_Cero",9,0,2,11,2021-12-21
"somoscidec","aimplas",11,0,0,11,2021-12-21
"ait_research","ambercentre",10,0,0,10,2021-12-21
"ait_research","RDI_at_LIT",10,0,0,10,2021-12-21
"AvepAsociacion","AvepAsociacion",10,0,0,10,2021-12-21
"CentrosCex","OceanetsProject",10,0,0,10,2021-12-21
"expoquimia","harvestoreEU",10,0,0,10,2021-12-21
"expoquimia","la_UPC",10,0,0,10,2021-12-21
"expoquimia","linknovate",10,0,0,10,2021-12-21
"expoquimia","RECOTRANS_H2020",10,0,0,10,2021-12-21
"fruittoday","aimplas",10,0,0,10,2021-12-21
"GVAivace","aimplas",10,0,0,10,2021-12-21
"iResiduo","aimplas",10,0,0,10,2021-12-21
"PLABUNsrl","aimplas",10,0,0,10,2021-12-21
"pteco2","aimplas",9,1,0,10,2021-12-21
"AEMAC_","Eurecat_news",9,0,0,9,2021-12-21
"anacanoarribas","CoopsAgroCV",7,0,2,9,2021-12-21
"AvepAsociacion","ANAIP_es",9,0,0,9,2021-12-21
