user_id,screen_name,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url,DateUpdate
1463950139048042498,SomosFundadoras,Somos Fundadoras,,Asociación que apoya el emprendimiento femenino creando una comunidad fuerte para dar visibilidad y premiar a la mujer en el ámbito laboral y emprendedor,NA,FALSE,9,172,0,1,3,2021-11-25T19:18:46Z,FALSE,NA,NA,NA,NA,NA,http://pbs.twimg.com/profile_images/1463950499485528067/PK_ytu65_normal.jpg,2021-11-29
1463819300918210568,arsilan44,arsilan 44,zamudio ,Servicios para el pulido y acabado de moldes y matrices,https://t.co/7PxBIKDKSF,FALSE,2,379,0,4,0,2021-11-25T10:38:23Z,FALSE,https://t.co/7PxBIKDKSF,http://arsilan44.com,NA,https://pbs.twimg.com/profile_banners/1463819300918210568/1637846763,NA,http://pbs.twimg.com/profile_images/1463820899598188545/JfPS4FGy_normal.jpg,2021-11-29
1390285743289942023,LAURELIN_EU,LAURELIN,Brussels,"LAURELIN's main objective is to achieve better selectivity, yield and energy requirements in methanol production from CO2 conversion #H2020 #methanol #CCU",https://t.co/sZTHqFK1Fj,FALSE,2,13,0,0,0,2021-05-06T12:42:19Z,FALSE,https://t.co/sZTHqFK1Fj,http://www.laurelin.eu,NA,https://pbs.twimg.com/profile_banners/1390285743289942023/1637753252,NA,http://pbs.twimg.com/profile_images/1451504927281455105/9LGMGtNH_normal.jpg,2021-11-29
100468916,MariaBellmunt,Maria Bellmunt Pons 🏡,,"Mami, periodista enamorada del Marketing y la Comunicación. Directora en https://t.co/X1xAkTGd2H 💛🎙 #PersonalAccount ☺Be positive my friend!",NA,FALSE,1308,1443,28,8253,3094,2009-12-30T10:55:53Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/100468916/1568838259,http://abs.twimg.com/images/themes/theme10/bg.gif,http://pbs.twimg.com/profile_images/907290379116056577/BznTBbk9_normal.jpg,2021-11-29
1302882567960621056,redoli_uv,Redolí_UV,Comunidad Valenciana / Comunit,"Grupo de investigación de la Universitat de València. Departamento de química inorgánica. Reconocimiento, sostenibilidad e innovación.",https://t.co/1POIhEUlii,FALSE,32,63,1,57,22,2020-09-07T08:14:11Z,FALSE,https://t.co/1POIhEUlii,https://redoli.blogs.uv.es/,NA,https://pbs.twimg.com/profile_banners/1302882567960621056/1599467235,NA,http://pbs.twimg.com/profile_images/1305499480524042240/y1lbFPqI_normal.jpg,2021-11-29
1177605066628444163,Ricardo25564761,Ricardo G.,,🇲🇽| 22 | IPN- ing. Química industrial |,NA,FALSE,6,125,0,6,57,2019-09-27T15:25:11Z,FALSE,NA,NA,NA,https://pbs.twimg.com/profile_banners/1177605066628444163/1579110220,NA,http://pbs.twimg.com/profile_images/1177605572948103168/4rMA_hkn_normal.jpg,2021-11-29
1453352480717381635,AlteroSolutions,Marc CD,Sentmenat,Director comercial en Altero Recyling Machinery.,https://t.co/MeVJ2tH4RD,FALSE,1,42,0,4,1,2021-10-27T13:27:14Z,FALSE,https://t.co/MeVJ2tH4RD,https://www.alteromachinery.com/,NA,https://pbs.twimg.com/profile_banners/1453352480717381635/1635342199,NA,http://pbs.twimg.com/profile_images/1453384856453398537/AfvXcPQf_normal.jpg,2021-11-29
1301779403614179328,eota_eu,EOTA,,"EOTA, as the organisation of Technical Assessment Bodies (TABs), is responsible for developing EADs as the basis for ETAs to CE mark #construction products.",https://t.co/xtYVTqqHgn,FALSE,512,1200,4,96,196,2020-09-04T07:09:44Z,FALSE,https://t.co/xtYVTqqHgn,http://eota.eu/,NA,https://pbs.twimg.com/profile_banners/1301779403614179328/1599489046,NA,http://pbs.twimg.com/profile_images/1302977609551278081/ak0b49zx_normal.png,2021-11-29
417142105,MARTORELL51,Jose Ramon,,,NA,FALSE,4,13,0,2,6,2011-11-20T15:44:41Z,FALSE,NA,NA,NA,NA,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/2531012550/IMG00043-20110522-1038_normal.jpg,2021-11-29
805126769246347264,LTudelaMarco,LorenaTM,Spain,Doctora en Economía Agraria - Interesada en #Innovacion #Agroalimentaria  Intercambiando conocimientos y redes constantemente 😀 #Ganadería #Cereales #Forrajes,https://t.co/Fl1RCOJXMw,FALSE,931,1618,4,914,4960,2016-12-03T19:09:15Z,FALSE,https://t.co/Fl1RCOJXMw,https://www.linkedin.com/in/lorenatudelamarco/,NA,https://pbs.twimg.com/profile_banners/805126769246347264/1481134574,NA,http://pbs.twimg.com/profile_images/806562377806311424/8X1fsi0h_normal.jpg,2021-11-29
