"Hora","Date","favorite_count","retweet_count"
9,2021-02-05,0,3
15,2021-02-04,3,2
10,2021-02-04,0,1
10,2021-02-04,2,0
13,2021-02-03,2,0
11,2021-02-03,0,1
9,2021-02-02,10,4
15,2021-02-01,3,0
14,2021-02-01,0,7
13,2021-01-29,3,0
11,2021-01-28,0,7
11,2021-01-28,3,1
10,2021-01-28,2,0
8,2021-01-28,2,2
15,2021-01-27,0,5
15,2021-01-27,1,0
13,2021-01-27,1,0
12,2021-01-27,0,44
12,2021-01-27,0,1
12,2021-01-27,5,1
10,2021-01-27,5,1
14,2021-01-26,4,1
13,2021-01-26,2,0
11,2021-01-26,0,1
15,2021-01-25,3,0
10,2021-01-25,5,0
7,2021-01-25,0,66
7,2021-01-25,0,4
14,2021-01-22,1,0
14,2021-01-22,0,1
14,2021-01-22,9,5
8,2021-01-22,0,1
8,2021-01-22,1,0
8,2021-01-22,0,3
8,2021-01-22,5,2
14,2021-01-21,0,5
12,2021-01-21,2,0
11,2021-01-21,3,0
11,2021-01-21,3,0
10,2021-01-21,2,0
9,2021-01-21,8,2
8,2021-01-21,11,3
10,2021-01-20,5,0
8,2021-01-20,7,3
15,2021-01-19,2,1
15,2021-01-19,0,3
14,2021-01-19,0,1
13,2021-01-19,2,0
14,2021-01-18,6,2
12,2021-01-18,5,0
14,2021-01-15,2,0
14,2021-01-14,4,0
14,2021-01-14,0,21
15,2021-01-13,7,4
13,2021-01-13,0,3
15,2021-01-12,0,1
15,2021-01-12,2,1
10,2021-01-11,5,0
13,2021-01-08,10,3
15,2021-01-07,3,1
16,2020-12-24,0,4
10,2020-12-23,6,0
16,2020-12-22,0,1
16,2020-12-22,0,0
12,2020-12-22,2,2
15,2020-12-21,1,0
17,2020-12-18,3,1
14,2020-12-17,1,0
16,2020-12-16,0,16
15,2020-12-16,3,1
8,2020-12-16,0,1
17,2020-12-15,2,0
16,2020-12-14,5,0
16,2020-12-11,5,1
15,2020-12-11,0,5
15,2020-12-11,5,0
12,2020-12-10,3,2
11,2020-12-10,3,1
10,2020-12-10,2,0
16,2020-12-09,1,0
15,2020-12-04,1,1
13,2020-12-04,4,2
12,2020-12-04,6,2
12,2020-12-04,2,0
11,2020-12-04,1,0
15,2020-12-03,0,2
15,2020-12-03,3,1
17,2020-12-02,4,0
15,2020-12-02,0,0
15,2020-11-30,2,2
16,2020-11-28,11,1
12,2020-11-27,3,0
11,2020-11-27,0,3
9,2020-11-27,0,1
18,2020-11-26,2,0
17,2020-11-26,0,5
17,2020-11-26,6,0
17,2020-11-25,7,1
12,2020-11-24,3,0
10,2020-11-24,3,1
14,2020-11-23,0,3
12,2020-11-23,5,0
11,2020-11-22,15,1
11,2020-11-21,3,1
16,2020-11-20,5,3
9,2020-11-20,6,1
16,2020-11-19,9,3
15,2020-11-18,5,1
17,2020-11-17,4,0
14,2020-11-16,3,0
16,2020-11-15,11,0
14,2020-11-13,4,1
19,2020-11-12,6,1
18,2020-11-12,1,1
18,2020-11-12,1,0
15,2020-11-12,1,0
14,2020-11-12,0,2
13,2020-11-12,0,5
13,2020-11-12,14,2
11,2020-11-12,0,0
10,2020-11-11,6,1
9,2020-11-11,6,4
16,2020-11-10,1,0
14,2020-11-10,2,0
13,2020-11-10,0,3
10,2020-11-09,0,3
10,2020-11-09,0,2
22,2020-11-08,0,3
14,2020-11-06,0,3
12,2020-11-06,3,0
12,2020-11-06,3,0
10,2020-11-06,7,3
14,2020-11-05,5,0
12,2020-11-05,4,0
11,2020-11-05,2,0
10,2020-11-05,0,17
9,2020-11-05,0,10
9,2020-11-05,0,2
9,2020-11-05,2,0
8,2020-11-05,2,0
15,2020-11-04,7,4
16,2020-11-03,3,1
